+--------------------------+--------------------------+----------------------------------------------------------------------------------------------------------+
|       Launch Clock       |      Capture Clock       |                                                 Pin                                                      |
| clk_out3_project_1_clk_wiz_0 |clk_out2_project_1_clk_wiz_0 |                              project_1_i/enc_ip_mon/inst/monitor_CNTRL_s_axi_U/int_num_blocks_V_reg[3]/CE|
| clk_out3_project_1_clk_wiz_0 |clk_out2_project_1_clk_wiz_0 |                              project_1_i/enc_ip_mon/inst/monitor_CNTRL_s_axi_U/int_num_blocks_V_reg[6]/CE|
| clk_out3_project_1_clk_wiz_0 |clk_out2_project_1_clk_wiz_0 |                              project_1_i/enc_ip_mon/inst/monitor_CNTRL_s_axi_U/int_num_blocks_V_reg[7]/CE|
| clk_out2_project_1_clk_wiz_0 |clk_out2_project_1_clk_wiz_0 |                               project_1_i/enc_op_mon/inst/monitor_CNTRL_s_axi_U/int_num_blocks_V_reg[3]/D|
| clk_out3_project_1_clk_wiz_0 |clk_out2_project_1_clk_wiz_0 |                                      project_1_i/enc_op_mon/inst/monitor_CNTRL_s_axi_U/int_ap_start_reg/D|
| clk_out3_project_1_clk_wiz_0 |clk_out2_project_1_clk_wiz_0 |                              project_1_i/enc_ip_mon/inst/monitor_CNTRL_s_axi_U/int_num_blocks_V_reg[9]/CE|
| clk_out3_project_1_clk_wiz_0 |clk_out2_project_1_clk_wiz_0 |                              project_1_i/enc_ip_mon/inst/monitor_CNTRL_s_axi_U/int_num_blocks_V_reg[1]/CE|
| clk_out3_project_1_clk_wiz_0 |clk_out2_project_1_clk_wiz_0 |                              project_1_i/enc_ip_mon/inst/monitor_CNTRL_s_axi_U/int_num_blocks_V_reg[0]/CE|
| clk_out3_project_1_clk_wiz_0 |clk_out2_project_1_clk_wiz_0 |                              project_1_i/enc_ip_mon/inst/monitor_CNTRL_s_axi_U/int_num_blocks_V_reg[8]/CE|
| clk_out2_project_1_clk_wiz_0 |clk_out2_project_1_clk_wiz_0 |                               project_1_i/enc_op_mon/inst/monitor_CNTRL_s_axi_U/int_num_blocks_V_reg[7]/D|
| clk_out3_project_1_clk_wiz_0 |clk_out2_project_1_clk_wiz_0 |                              project_1_i/enc_op_mon/inst/monitor_CNTRL_s_axi_U/int_num_blocks_V_reg[30]/D|
| clk_out3_project_1_clk_wiz_0 |clk_out2_project_1_clk_wiz_0 |                                        project_1_i/dec_ip_mon/inst/monitor_CNTRL_s_axi_U/int_isr_reg[0]/D|
| clk_out2_project_1_clk_wiz_0 |clk_out2_project_1_clk_wiz_0 |                                                 project_1_i/stats/inst/top_CNTRL_s_axi_U/int_isr_reg[1]/D|
| clk_out2_project_1_clk_wiz_0 |clk_out2_project_1_clk_wiz_0 |                              project_1_i/enc_op_mon/inst/monitor_CNTRL_s_axi_U/int_num_blocks_V_reg[11]/D|
| clk_out2_project_1_clk_wiz_0 |clk_out2_project_1_clk_wiz_0 |                               project_1_i/enc_ip_mon/inst/monitor_CNTRL_s_axi_U/int_num_blocks_V_reg[1]/D|
| clk_out3_project_1_clk_wiz_0 |clk_out2_project_1_clk_wiz_0 |                                        project_1_i/dec_ip_mon/inst/monitor_CNTRL_s_axi_U/int_isr_reg[1]/D|
| clk_out2_project_1_clk_wiz_0 |clk_out2_project_1_clk_wiz_0 |                               project_1_i/enc_op_mon/inst/monitor_CNTRL_s_axi_U/int_num_blocks_V_reg[9]/D|
| clk_out2_project_1_clk_wiz_0 |clk_out2_project_1_clk_wiz_0 |                              project_1_i/enc_op_mon/inst/monitor_CNTRL_s_axi_U/int_num_blocks_V_reg[23]/D|
| clk_out2_project_1_clk_wiz_0 |clk_out2_project_1_clk_wiz_0 |                              project_1_i/enc_op_mon/inst/monitor_CNTRL_s_axi_U/int_num_blocks_V_reg[15]/D|
| clk_out2_project_1_clk_wiz_0 |clk_out2_project_1_clk_wiz_0 |                              project_1_i/enc_op_mon/inst/monitor_CNTRL_s_axi_U/int_num_blocks_V_reg[13]/D|
| clk_out2_project_1_clk_wiz_0 |clk_out2_project_1_clk_wiz_0 |                                                 project_1_i/stats/inst/top_CNTRL_s_axi_U/int_isr_reg[0]/D|
| clk_out2_project_1_clk_wiz_0 |clk_out2_project_1_clk_wiz_0 |                               project_1_i/enc_op_mon/inst/monitor_CNTRL_s_axi_U/int_num_blocks_V_reg[1]/D|
| clk_out2_project_1_clk_wiz_0 |clk_out2_project_1_clk_wiz_0 |                              project_1_i/enc_op_mon/inst/monitor_CNTRL_s_axi_U/int_num_blocks_V_reg[29]/D|
| clk_out3_project_1_clk_wiz_0 |clk_out2_project_1_clk_wiz_0 |                                        project_1_i/enc_ip_mon/inst/monitor_CNTRL_s_axi_U/int_ier_reg[1]/D|
| clk_out3_project_1_clk_wiz_0 |clk_out2_project_1_clk_wiz_0 |                               project_1_i/enc_op_mon/inst/monitor_CNTRL_s_axi_U/int_num_blocks_V_reg[2]/D|
| clk_out2_project_1_clk_wiz_0 |clk_out2_project_1_clk_wiz_0 |                               project_1_i/enc_ip_mon/inst/monitor_CNTRL_s_axi_U/int_num_blocks_V_reg[7]/D|
| clk_out2_project_1_clk_wiz_0 |clk_out2_project_1_clk_wiz_0 |                              project_1_i/enc_op_mon/inst/monitor_CNTRL_s_axi_U/int_num_blocks_V_reg[21]/D|
| clk_out2_project_1_clk_wiz_0 |clk_out2_project_1_clk_wiz_0 |                              project_1_i/enc_op_mon/inst/monitor_CNTRL_s_axi_U/int_num_blocks_V_reg[27]/D|
| clk_out2_project_1_clk_wiz_0 |clk_out2_project_1_clk_wiz_0 |                              project_1_i/enc_op_mon/inst/monitor_CNTRL_s_axi_U/int_num_blocks_V_reg[31]/D|
| clk_out2_project_1_clk_wiz_0 |clk_out2_project_1_clk_wiz_0 |                               project_1_i/enc_op_mon/inst/monitor_CNTRL_s_axi_U/int_num_blocks_V_reg[5]/D|
| clk_out2_project_1_clk_wiz_0 |clk_out2_project_1_clk_wiz_0 |                              project_1_i/enc_op_mon/inst/monitor_CNTRL_s_axi_U/int_num_blocks_V_reg[25]/D|
| clk_out2_project_1_clk_wiz_0 |clk_out2_project_1_clk_wiz_0 |                               project_1_i/enc_ip_mon/inst/monitor_CNTRL_s_axi_U/int_num_blocks_V_reg[3]/D|
| clk_out2_project_1_clk_wiz_0 |clk_out2_project_1_clk_wiz_0 |                              project_1_i/enc_op_mon/inst/monitor_CNTRL_s_axi_U/int_num_blocks_V_reg[17]/D|
| clk_out3_project_1_clk_wiz_0 |clk_out2_project_1_clk_wiz_0 |                                         project_1_i/data_source/inst/top_CNTRL_s_axi_U/int_snr_V_reg[6]/D|
| clk_out3_project_1_clk_wiz_0 |clk_out2_project_1_clk_wiz_0 |                                         project_1_i/data_source/inst/top_CNTRL_s_axi_U/int_snr_V_reg[9]/D|
| clk_out3_project_1_clk_wiz_0 |clk_out2_project_1_clk_wiz_0 |                                   project_1_i/data_source/inst/top_CNTRL_s_axi_U/int_dec_keep_V_reg[50]/D|
| clk_out3_project_1_clk_wiz_0 |clk_out2_project_1_clk_wiz_0 |                              project_1_i/data_source/inst/top_CNTRL_s_axi_U/int_enc_ctrl_word_V_reg[18]/D|
| clk_out3_project_1_clk_wiz_0 |clk_out2_project_1_clk_wiz_0 |                              project_1_i/enc_op_mon/inst/monitor_CNTRL_s_axi_U/int_num_blocks_V_reg[12]/D|
| clk_out3_project_1_clk_wiz_0 |clk_out2_project_1_clk_wiz_0 |                                   project_1_i/data_source/inst/top_CNTRL_s_axi_U/int_enc_keep_V_reg[50]/D|
| clk_out2_project_1_clk_wiz_0 |clk_out2_project_1_clk_wiz_0 |                              project_1_i/enc_op_mon/inst/monitor_CNTRL_s_axi_U/int_num_blocks_V_reg[28]/D|
| clk_out3_project_1_clk_wiz_0 |clk_out2_project_1_clk_wiz_0 |                               project_1_i/enc_op_mon/inst/monitor_CNTRL_s_axi_U/int_num_blocks_V_reg[6]/D|
| clk_out3_project_1_clk_wiz_0 |clk_out2_project_1_clk_wiz_0 |                                        project_1_i/enc_ip_mon/inst/monitor_CNTRL_s_axi_U/int_ier_reg[0]/D|
| clk_out3_project_1_clk_wiz_0 |clk_out2_project_1_clk_wiz_0 |                                   project_1_i/data_source/inst/top_CNTRL_s_axi_U/int_dec_keep_V_reg[51]/D|
| clk_out2_project_1_clk_wiz_0 |clk_out2_project_1_clk_wiz_0 |                              project_1_i/enc_op_mon/inst/monitor_CNTRL_s_axi_U/int_num_blocks_V_reg[20]/D|
| clk_out3_project_1_clk_wiz_0 |clk_out2_project_1_clk_wiz_0 |                               project_1_i/enc_op_mon/inst/monitor_CNTRL_s_axi_U/int_num_blocks_V_reg[0]/D|
| clk_out2_project_1_clk_wiz_0 |clk_out2_project_1_clk_wiz_0 |                              project_1_i/enc_op_mon/inst/monitor_CNTRL_s_axi_U/int_num_blocks_V_reg[10]/D|
| clk_out3_project_1_clk_wiz_0 |clk_out2_project_1_clk_wiz_0 |                                project_1_i/data_source/inst/top_CNTRL_s_axi_U/int_inv_sigma_sq_V_reg[6]/D|
| clk_out3_project_1_clk_wiz_0 |clk_out2_project_1_clk_wiz_0 |                                   project_1_i/data_source/inst/top_CNTRL_s_axi_U/int_dec_keep_V_reg[18]/D|
| clk_out3_project_1_clk_wiz_0 |clk_out2_project_1_clk_wiz_0 |                                           project_1_i/dec_ip_mon/inst/monitor_CNTRL_s_axi_U/int_gie_reg/D|
| clk_out3_project_1_clk_wiz_0 |clk_out2_project_1_clk_wiz_0 |                                  project_1_i/dec_ip_mon/inst/monitor_CNTRL_s_axi_U/int_auto_restart_reg/D|
| clk_out3_project_1_clk_wiz_0 |clk_out2_project_1_clk_wiz_0 |                                project_1_i/data_source/inst/top_CNTRL_s_axi_U/int_inv_sigma_sq_V_reg[9]/D|
| clk_out3_project_1_clk_wiz_0 |clk_out2_project_1_clk_wiz_0 |                                   project_1_i/data_source/inst/top_CNTRL_s_axi_U/int_enc_keep_V_reg[18]/D|
| clk_out3_project_1_clk_wiz_0 |clk_out2_project_1_clk_wiz_0 |                                  project_1_i/data_source/inst/top_CNTRL_s_axi_U/int_num_blocks_V_reg[6]/D|
| clk_out3_project_1_clk_wiz_0 |clk_out2_project_1_clk_wiz_0 |                                 project_1_i/data_source/inst/top_CNTRL_s_axi_U/int_source_keep_V_reg[6]/D|
| clk_out3_project_1_clk_wiz_0 |clk_out2_project_1_clk_wiz_0 |                               project_1_i/enc_op_mon/inst/monitor_CNTRL_s_axi_U/int_num_blocks_V_reg[4]/D|
| clk_out3_project_1_clk_wiz_0 |clk_out2_project_1_clk_wiz_0 |                              project_1_i/enc_op_mon/inst/monitor_CNTRL_s_axi_U/int_num_blocks_V_reg[24]/D|
| clk_out3_project_1_clk_wiz_0 |clk_out2_project_1_clk_wiz_0 |                                        project_1_i/enc_op_mon/inst/monitor_CNTRL_s_axi_U/int_ier_reg[0]/D|
| clk_out2_project_1_clk_wiz_0 |clk_out2_project_1_clk_wiz_0 |                              project_1_i/enc_op_mon/inst/monitor_CNTRL_s_axi_U/int_num_blocks_V_reg[14]/D|
| clk_out3_project_1_clk_wiz_0 |clk_out2_project_1_clk_wiz_0 |                                        project_1_i/enc_op_mon/inst/monitor_CNTRL_s_axi_U/int_ier_reg[1]/D|
